Unidade da Federação,Ano,Variável,Total,Abacate,Abacaxi*,Açaí,Alfafa fenada,Algodão arbóreo (em caroço),Algodão herbáceo (em caroço),Alho,Amendoim (em casca),Arroz (em casca),Aveia (em grão),Azeitona,Banana (cacho),Batata-doce,Batata-inglesa,Borracha (látex coagulado),Borracha (látex líquido),Cacau (em amêndoa),Café (em grão) Total,Café (em grão) Arábica,Café (em grão) Canephora,Caju,Cana-de-açúcar,Cana para forragem,Caqui,Castanha de caju,Cebola,Centeio (em grão),Cevada (em grão),Chá-da-índia (folha verde),Coco-da-baía*,Dendê (cacho de coco),Erva-mate (folha verde),Ervilha (em grão),Fava (em grão),Feijão (em grão),Figo,Fumo (em folha),Girassol (em grão),Goiaba,Guaraná (semente),Juta (fibra),Laranja,Limão,Linho (semente),Maçã,Malva (fibra),Mamão,Mamona (baga),Mandioca,Manga,Maracujá,Marmelo,Melancia,Melão,Milho (em grão),Noz (fruto seco),Palmito,Pera,Pêssego,Pimenta-do-reino,Rami (fibra),Sisal ou agave (fibra),Soja (em grão),Sorgo (em grão),Tangerina,Tomate,Trigo (em grão),Triticale (em grão),Tungue (fruto seco),Urucum (semente),Uva
São Paulo,1974,Área colhida (Hectares),5096461,5269,5606,...,268,-,395600,573,209700,464700,-,-,34100,1633,25400,...,...,429,641000,...,...,56,719783,64767,1718,...,10800,-,-,4441,41,...,...,...,427,289600,1395,1724,...,...,...,-,213000,9434,-,2549,-,1501,127600,54700,4671,...,28,4172,578,1290000,66,...,1336,1418,-,-,-,335000,8507,12871,29400,109800,...,-,...,10800
São Paulo,1975,Área colhida (Hectares),4834470,6161,2100,...,233,-,368000,73,184500,523700,-,-,33552,2979,24900,...,...,442,690841,...,...,56,621000,69074,1704,...,11700,-,-,5290,41,...,...,...,1045,231200,1524,1906,...,...,...,-,272440,11107,-,2057,-,1998,33900,38500,4894,...,28,3649,702,1106000,46,...,1342,1352,-,-,-,391200,10828,15317,24200,123000,...,-,...,9889
São Paulo,1976,Área colhida (Hectares),4852131,5976,1273,...,55,-,223300,80,230000,605900,-,-,33475,5575,29800,...,...,79,405550,...,...,16,722931,69598,1677,...,13800,-,-,5360,7,...,...,...,765,239700,1572,1918,...,...,...,-,282330,11775,-,2093,-,2470,22800,29500,5175,...,6,2601,652,1250000,42,...,1396,1396,-,-,-,394000,11904,16854,23200,185000,...,-,...,10530
São Paulo,1977,Área colhida (Hectares),4984762,7213,1570,...,50,-,300100,200,144900,347000,-,-,34218,2056,26900,...,...,79,637100,...,...,20,790625,75397,1764,...,14400,-,-,5300,10,...,...,...,946,349500,1640,1732,...,...,...,-,286405,12681,-,2256,-,4183,18100,32700,5580,...,6,2809,583,1134000,41,...,1515,1493,-,-,-,449300,56540,17675,22900,184000,...,-,...,9275
São Paulo,1978,Área colhida (Hectares),5341048,6814,1420,...,58,-,345100,200,172400,341900,-,-,28550,1822,32100,...,...,83,736459,...,...,15,870790,76545,2246,...,16200,-,-,4555,28,...,...,...,541,485600,1533,2100,...,...,...,-,326340,14384,-,2088,-,4104,34327,35500,5212,...,6,3833,223,972100,49,...,1283,1521,-,-,-,558800,33138,18741,24700,168440,...,-,...,9200
São Paulo,1979,Área colhida (Hectares),5396970,7055,1310,...,8,-,283600,200,203370,300400,-,-,35615,1534,31820,...,...,163,794870,...,...,15,947750,79959,2285,...,19500,-,-,4655,27,...,...,...,284,398630,1577,1750,...,...,...,-,331176,14786,-,2382,-,5263,25000,27800,5122,...,9,4043,390,1054500,41,...,1139,1287,-,-,-,535800,10349,20094,26500,204800,...,-,...,10112
São Paulo,1980,Área colhida (Hectares),5555934,7183,1040,...,32,-,270000,129,210800,300000,7,-,35681,1481,28520,...,...,163,805060,...,...,19,1008184,80296,2247,...,17047,-,-,4810,39,...,...,...,194,459500,1576,1831,...,...,...,-,427450,14378,-,2584,-,5351,27148,26004,5047,...,8,3977,369,1002100,44,...,1228,1304,-,-,-,560767,13285,19693,23060,176098,...,-,...,10200
São Paulo,1981,Área colhida (Hectares),5962411,9678,941,...,2,-,303000,191,185400,315000,7,-,35378,1604,29440,155,228,225,907696,...,...,4,1120850,74430,2362,...,18200,-,-,5010,36,...,-,...,14,500129,1573,920,...,...,-,-,431058,14454,-,1769,-,2596,26800,28000,4654,...,7,3633,324,1176600,44,-,1132,1153,-,-,-,543000,29482,21702,21200,131749,...,-,...,10581
São Paulo,1982,Área colhida (Hectares),6012310,9871,1080,...,7,-,318000,810,184000,309000,-,-,39653,1493,31944,203,258,198,555996,...,...,12,1281350,76054,2351,...,16180,-,-,5570,26,...,-,...,14,574945,1775,1459,...,...,-,-,440849,15991,-,1756,-,1612,23000,34728,4453,...,5,2993,299,1330700,50,-,863,994,-,-,-,516000,34970,23308,23200,134000,...,-,...,10290
São Paulo,1983,Área colhida (Hectares),6181752,9919,1230,...,66,-,308700,1158,170500,334100,-,-,35200,1626,31060,220,362,252,649747,...,...,12,1513158,72949,2436,...,16955,-,-,5320,26,...,-,...,14,551700,1790,1318,...,...,-,-,472250,17396,-,1944,-,2158,21858,36280,5022,...,17,3287,367,1217000,35,-,802,1110,-,-,-,470000,31273,24355,20670,136917,...,-,...,9193
