"Unidade da Federação,""Ano"",""Variável"",""Total"",""Abacate"",""Abacaxi*"",""Açaí"",""Alfafa fenada"",""Algodão arbóreo (em caroço)"",""Algodão herbáceo (em caroço)"",""Alho"",""Amendoim (em casca)"",""Arroz (em casca)"",""Aveia (em grão)"",""Azeitona"",""Banana (cacho)"",""Batata-doce"",""Batata-inglesa"",""Borracha (látex coagulado)"",""Borracha (látex líquido)"",""Cacau (em amêndoa)"",""Café (em grão) Total"",""Café (em grão) Arábica"",""Café (em grão) Canephora"",""Caju"",""Cana-de-açúcar"",""Cana para forragem"",""Caqui"",""Castanha de caju"",""Cebola"",""Centeio (em grão)"",""Cevada (em grão)"",""Chá-da-índia (folha verde)"",""Coco-da-baía*"",""Dendê (cacho de coco)"",""Erva-mate (folha verde)"",""Ervilha (em grão)"",""Fava (em grão)"",""Feijão (em grão)"",""Figo"",""Fumo (em folha)"",""Girassol (em grão)"",""Goiaba"",""Guaraná (semente)"",""Juta (fibra)"",""Laranja"",""Limão"",""Linho (semente)"",""Maçã"",""Malva (fibra)"",""Mamão"",""Mamona (baga)"",""Mandioca"",""Manga"",""Maracujá"",""Marmelo"",""Melancia"",""Melão"",""Milho (em grão)"",""Noz (fruto seco)"",""Palmito"",""Pera"",""Pêssego"",""Pimenta-do-reino"",""Rami (fibra)"",""Sisal ou agave (fibra)"",""Soja (em grão)"",""Sorgo (em grão)"",""Tangerina"",""Tomate"",""Trigo (em grão)"",""Triticale (em grão)"",""Tungue (fruto seco)"",""Urucum (semente)"",""Uva"""
"São Paulo,""1974"",""Quantidade produzida (Toneladas)"","".."",""159893"",""62268"",""..."",""2166"",""-"",""516023"",""2091"",""268600"",""582000"",""-"",""-"",""35400"",""19507"",""314400"",""..."",""..."",""147"",""1160000"",""..."",""..."",""2770"",""39472166"",""2506841"",""97504"",""..."",""75600"",""-"",""-"",""6439"",""123"",""..."",""..."",""..."",""222"",""131400"",""128731"",""922"",""..."",""..."",""..."",""-"",""19250000"",""1119522"",""-"",""78395"",""-"",""28839"",""155000"",""1000000"",""171722"",""..."",""528"",""10522"",""2452"",""2628000"",""40"",""..."",""54138"",""104576"",""-"",""-"",""-"",""522000"",""28422"",""1081323"",""610400"",""153100"",""..."",""-"",""..."",""138300"""
"São Paulo,""1975"",""Quantidade produzida (Toneladas)"","".."",""197068"",""40700"",""..."",""1826"",""-"",""488600"",""240"",""262500"",""510000"",""-"",""-"",""27650"",""22073"",""312000"",""..."",""..."",""160"",""887000"",""..."",""..."",""3040"",""35600000"",""2721281"",""108029"",""..."",""99000"",""-"",""-"",""7675"",""130"",""..."",""..."",""..."",""738"",""108060"",""146651"",""2295"",""..."",""..."",""..."",""-"",""21175000"",""1249388"",""-"",""65703"",""-"",""33012"",""37500"",""720000"",""169067"",""..."",""535"",""8527"",""2886"",""2100000"",""63"",""..."",""54302"",""96917"",""-"",""-"",""-"",""678000"",""32172"",""1305891"",""521000"",""70500"",""..."",""-"",""..."",""133900"""
"São Paulo,""1976"",""Quantidade produzida (Toneladas)"","".."",""200101"",""35300"",""..."",""480"",""-"",""332400"",""246"",""331100"",""840000"",""-"",""-"",""35800"",""31118"",""397200"",""..."",""..."",""34"",""220000"",""..."",""..."",""654"",""45906112"",""2700291"",""111353"",""..."",""133500"",""-"",""-"",""7809"",""35"",""..."",""..."",""..."",""671"",""139700"",""157760"",""2746"",""..."",""..."",""..."",""-"",""25550000"",""1284173"",""-"",""66083"",""-"",""50520"",""28500"",""610000"",""186606"",""..."",""190"",""6557"",""3053"",""2724000"",""64"",""..."",""59107"",""106261"",""-"",""-"",""-"",""765000"",""38014"",""1429082"",""583200"",""195000"",""..."",""-"",""..."",""146540"""
"São Paulo,""1977"",""Quantidade produzida (Toneladas)"","".."",""203201"",""31100"",""..."",""400"",""-"",""544000"",""600"",""213000"",""360000"",""-"",""-"",""38600"",""26040"",""390000"",""..."",""..."",""34"",""903881"",""..."",""..."",""698"",""51782000"",""2930389"",""127339"",""..."",""170300"",""-"",""-"",""7700"",""60"",""..."",""..."",""..."",""822"",""201600"",""149901"",""1950"",""..."",""..."",""..."",""-"",""25100000"",""1531053"",""-"",""67809"",""-"",""71852"",""27000"",""710000"",""198955"",""..."",""170"",""10357"",""3349"",""2520000"",""68"",""..."",""56941"",""117875"",""-"",""-"",""-"",""768000"",""169620"",""1441886"",""613800"",""87300"",""..."",""-"",""..."",""131400"""
"São Paulo,""1978"",""Quantidade produzida (Toneladas)"","".."",""191363"",""27450"",""..."",""330"",""-"",""386656"",""600"",""227400"",""246300"",""-"",""-"",""53520"",""22071"",""440160"",""..."",""..."",""70"",""1017969"",""..."",""..."",""670"",""58286000"",""2987574"",""260317"",""..."",""224800"",""-"",""-"",""9120"",""168"",""..."",""..."",""..."",""454"",""230300"",""137681"",""5140"",""..."",""..."",""..."",""-"",""28465000"",""1643481"",""-"",""80747"",""-"",""80757"",""36627"",""750000"",""183708"",""..."",""171"",""17602"",""1914"",""1701000"",""77"",""..."",""49032"",""155166"",""-"",""-"",""-"",""745500"",""82845"",""1558540"",""633200"",""87810"",""..."",""-"",""..."",""133000"""
"São Paulo,""1979"",""Quantidade produzida (Toneladas)"","".."",""206452"",""27225"",""..."",""80"",""-"",""507300"",""550"",""333750"",""307800"",""-"",""-"",""37218"",""16415"",""520200"",""..."",""..."",""154"",""1023350"",""..."",""..."",""850"",""63570000"",""3193753"",""305815"",""..."",""307000"",""-"",""-"",""9362"",""162"",""..."",""..."",""..."",""228"",""260928"",""276515"",""1228"",""..."",""..."",""..."",""-"",""30645500"",""1937895"",""-"",""112574"",""-"",""126340"",""30000"",""553000"",""168846"",""..."",""251"",""18206"",""4497"",""2277000"",""51"",""..."",""47963"",""144665"",""-"",""-"",""-"",""848400"",""22509"",""1841781"",""720100"",""223100"",""..."",""-"",""..."",""149306"""
"São Paulo,""1980"",""Quantidade produzida (Toneladas)"","".."",""217211"",""21000"",""..."",""244"",""-"",""482635"",""500"",""337035"",""420000"",""6"",""-"",""41320"",""16672"",""513600"",""..."",""..."",""155"",""824040"",""..."",""..."",""1070"",""73041362"",""3261670"",""297866"",""..."",""279789"",""-"",""-"",""9675"",""231"",""..."",""..."",""..."",""139"",""283056"",""281490"",""768"",""..."",""..."",""..."",""-"",""42400000"",""1897242"",""-"",""108033"",""-"",""135044"",""32578"",""480957"",""187010"",""..."",""280"",""19140"",""4652"",""2335800"",""29"",""..."",""52162"",""145561"",""-"",""-"",""-"",""1099058"",""32542"",""1814351"",""795600"",""195314"",""..."",""-"",""..."",""149000"""
"São Paulo,""1981"",""Quantidade produzida (Toneladas)"","".."",""218979"",""20500"",""..."",""25"",""-"",""552480"",""895"",""269550"",""379890"",""7"",""-"",""43030"",""18393"",""495600"",""124"",""727"",""172"",""1218252"",""..."",""..."",""400"",""73578124"",""3085336"",""275623"",""..."",""282600"",""-"",""-"",""10075"",""241"",""..."",""-"",""..."",""17"",""330300"",""280011"",""460"",""..."",""..."",""-"",""-"",""44832297"",""1936266"",""-"",""66241"",""-"",""100755"",""18000"",""592000"",""136709"",""..."",""171"",""9821"",""4037"",""2752800"",""29"",""-"",""47885"",""108227"",""-"",""-"",""-"",""1032000"",""68428"",""1968296"",""690000"",""131556"",""..."",""-"",""..."",""146360"""
"São Paulo,""1982"",""Quantidade produzida (Toneladas)"","".."",""244278"",""23620"",""..."",""34"",""-"",""529227"",""3475"",""249235"",""463500"",""-"",""-"",""40730"",""18026"",""573315"",""156"",""840"",""179"",""674400"",""..."",""..."",""1800"",""92228391"",""3178186"",""278243"",""..."",""255620"",""-"",""-"",""11266"",""249"",""..."",""-"",""..."",""17"",""392600"",""279169"",""828"",""..."",""..."",""-"",""-"",""45749997"",""2260887"",""-"",""77515"",""-"",""72017"",""26700"",""728000"",""117588"",""..."",""93"",""10413"",""4347"",""3392400"",""28"",""-"",""38783"",""85068"",""-"",""-"",""-"",""993300"",""69940"",""2128881"",""826000"",""134000"",""..."",""-"",""..."",""149040"""
"São Paulo,""1983"",""Quantidade produzida (Toneladas)"","".."",""245875"",""27150"",""..."",""497"",""-"",""464208"",""5176"",""232800"",""617400"",""-"",""-"",""36400"",""20648"",""528900"",""183"",""1022"",""250"",""798286"",""..."",""..."",""1800"",""115000000"",""3255964"",""352108"",""..."",""253900"",""-"",""-"",""38768"",""375"",""..."",""-"",""..."",""17"",""322560"",""281162"",""763"",""..."",""..."",""-"",""-"",""47225000"",""2626952"",""-"",""103125"",""-"",""59974"",""21858"",""787270"",""133626"",""..."",""467"",""10418"",""4677"",""3164000"",""24"",""-"",""35713"",""94264"",""-"",""-"",""-"",""966000"",""62546"",""2155781"",""752960"",""174347"",""..."",""-"",""..."",""141460"""
