Unidade da Federação;Ano;Variável;Total;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
São Paulo;1974;Valor da produção (Mil Cruzeiros);13420149;30147;70700;...;1901;-;1223420;8459;369106;871614;-;-;120153;7748;321531;...;...;788;3076221;...;...;257;1800501;106103;12739;...;62176;-;-;21053;123;...;...;...;520;295589;9976;5638;...;...;...;-;1295418;52537;-;19113;-;32152;148960;134354;22063;...;107;36175;9226;1452694;421;...;13287;28851;-;-;-;620880;12854;74134;583202;232859;...;-;...;234399
São Paulo;1975;Valor da produção (Mil Cruzeiros);16410102;66713;61035;...;1727;-;1248878;1156;475773;935689;-;-;214803;12437;337306;...;...;880;4095001;...;...;441;2693173;165351;19821;...;119286;-;-;30700;260;...;...;...;1486;377066;37989;7328;...;...;...;-;1392299;78304;-;17635;-;41210;45080;207562;25034;...;400;21098;7256;1544578;795;...;16351;32687;-;-;-;922297;20855;113642;627659;113934;...;-;...;277127
São Paulo;1976;Valor da produção (Mil Cruzeiros);23460365;98116;68556;...;480;-;1611818;2004;781559;1609180;-;-;293973;24151;678615;...;...;481;2241844;...;...;125;5146283;262471;24509;...;254214;-;-;28176;105;...;...;...;1642;1036014;38946;9632;...;...;...;-;2469865;161369;-;35581;-;75909;57621;406489;74470;...;44;24495;12283;2560374;831;...;14600;20695;-;-;-;1300604;30709;193136;1135902;400003;...;-;...;272491
São Paulo;1977;Valor da produção (Mil Cruzeiros);43969865;122143;84995;...;720;-;3336176;7345;740053;871475;-;-;517710;37173;1075717;...;...;515;13702611;...;...;209;7657774;367404;41158;...;549530;-;-;31430;210;...;...;...;2377;1295451;58362;15698;...;...;...;-;4694207;207507;-;45251;-;146594;96174;445894;104335;...;57;43471;15986;2907273;1248;...;20877;41705;-;-;-;2069964;171410;227101;1420736;258159;...;-;...;535680
São Paulo;1978;Valor da produção (Mil Cruzeiros);57180238;163408;104262;...;1262;-;2989612;10017;1221170;920701;-;-;1075186;53021;1634226;...;...;3868;16577439;...;...;308;12104086;436831;160785;...;1607267;-;-;24612;1008;...;...;...;1661;1522314;114202;36991;...;...;...;-;5664094;278332;-;84465;-;243905;151292;443777;108212;...;73;104766;11975;3514218;2316;...;25961;194306;-;-;-;2590617;153887;389097;1488934;314580;...;-;...;651194
São Paulo;1979;Valor da produção (Mil Cruzeiros);95468021;240622;149798;...;320;-;5623121;14459;2412849;2046945;-;-;1407110;53554;2272789;...;...;11213;23686269;...;...;560;20515023;706977;236106;...;2831982;-;-;34670;1296;...;...;...;1134;3352779;380475;21994;...;...;...;-;9215874;504837;-;146251;-;637894;214614;441013;151542;...;122;159067;48878;7346756;2346;...;74836;267165;-;-;-;4604502;67865;631392;2552984;1204687;...;-;...;1193351
São Paulo;1980;Valor da produção (Mil Cruzeiros);196687248;550034;193353;...;1220;-;10067810;27507;3566871;4754797;12;-;2734391;92786;7982897;...;...;14725;34454062;...;...;1615;49440080;1446181;319560;...;5060477;-;-;57023;5280;...;...;...;1015;12361729;516910;25447;...;...;...;-;21524285;1135682;-;238190;-;1084642;439203;1584960;309346;...;247;447153;100176;14503181;2139;...;183496;432823;-;-;-;9352761;158073;1097146;5661831;2137415;...;-;...;2618717
São Paulo;1981;Valor da produção (Mil Cruzeiros);415924696;1434591;397705;...;375;-;22127341;220712;7804093;7093168;28;-;6519301;207030;11158569;20716;82993;25800;81640992;...;...;1800;98888119;2619794;1165039;...;5770232;-;-;90470;7466;...;-;...;218;22821124;1038368;49900;...;...;-;-;58808279;3437642;-;509075;-;1288607;499779;4025274;493588;...;282;555015;206102;30786002;4659;-;350092;874714;-;-;-;16679604;489370;2620854;11743622;3677390;...;-;...;7688802
São Paulo;1982;Valor da produção (Mil Cruzeiros);748740236;3398860;890704;...;720;-;38873884;1352352;9484833;19343764;-;-;12225036;416153;17425524;36059;137243;49350;87088618;...;...;38340;235174365;5288582;2627538;...;16046967;-;-;255996;11056;...;-;...;347;29348670;1710011;360508;...;...;-;-;100011487;7971014;-;1249670;-;2098935;1579009;6830861;935126;...;229;1379841;374070;60381904;9097;-;485819;1345129;-;-;-;32550459;1019305;4848006;25265164;7274770;...;-;...;11544861
São Paulo;1983;Valor da produção (Mil Cruzeiros);2148469185;7090992;1990506;...;44952;-;90032631;4457263;25666588;73257634;-;-;31586927;999364;79129755;136655;417478;187240;235151296;...;...;52560;677526356;12085336;7193618;...;37102672;-;-;1906810;38955;...;-;...;717;95795039;3517952;491192;...;...;-;-;208166519;17623300;-;2578933;-;2476887;5934000;16168778;2658521;...;5080;3602195;1328860;234346368;15428;-;1384639;4542296;-;-;-;113880867;4340419;11415414;60888672;26578452;...;-;...;44673069
